jobtitle,jobdescription,skills,experience
Group Leader,"Job Description Â Send me Jobs like this Currently two of our top agency-partnerships prefer working with Sr. Developers directly instead of having billable managerial layers Yet almost all these projects require some management oversight, getting on calls, coaching the developers -- SM functions but not in a full-time role Further, in our team structure, there is no map between clientrsquos senior leadership and Srijan. The CEO of the company is currently the map for Portfolio Leads and Project Managers -- and thus becomes a) the point of escalation, if and when that happens & b) the key contact point for managing sales pipeline. Head of Drupal for 2 additional Accounts and Teams This is also the case for largely all other clients that Srijan works with. Barring a few key accounts, line functions of managing projects with various accounts, needs to be given up by the CEO. The CEO must largely only map to CEO/ CXOs/ Directors of its clients at a strategic & relationship level -- a role that needs to be facilitated by the work of the Drupal Portfolio Lead & Sales Head. Lead Discovery Projects Discovery Projects are currently largely lead by 1-2 key Team Leads, with assistance from one PO and from the Head of Sales, and from the CEO. This requires to change. Leadership and successful delivery of Discovery Projects, with all deliverables such as Architecture Document, Product Backlog with detailed Users Stories, User Story estimates, Projects Delivery Estimates, would become the responsibility of this role. Project Costing and Profitability would remain a shared function with the Head of Sales and the CEO for the moment, perhaps to be later given up to a Drupal Practice Head / Delivery Head. Support Pre-sales Currently, our Head of Solution Sales depends upon 1-2 key people within Srijan, largely a Team Lead & a PO to roll-out estimates. This is also a responsibility shared by the CEO currently. This requires to change. Supporting the sales team in pre-sales operations on key accounts that we wish to acquire, including Drupal agencies such as Acquia, would be the mandate of this role. Time allocation for assistance from TLs, SMs, and POs would need to streamlined as part of this job function to ensure estimates are done well. Relationship Development Relationships with Project Managers, Heads of Departments, Portfolio Leads, and other similar roles need to be managed by this role. This remains a shared responsibility with the CEO currently. People Development Development of Team Leads and Scrum Masters within the Drupal lanes is a key responsibility of this role. Performance Management of Drupal teams Performance Management of all Drupal teams working on accounts led by this Portfolio Manager is a responsibility of this role. This will remain a shared responsibility with many others including the CEO, given Srijanrsquos team-based structure for evaluation and determining remuneration. Hiring Hiring the right people is a key responsibility of this function. Product Design Product Design -- creating new solutions for new and current industries -- is a very important and key function of this role. Drupal Community Events Participating at Drupal events, including Drupalcon will be the responsibility of this function. Initiating Community Events such as Drupal Meetups and Hackathons is a key shared responsibility of this role. P&L Responsibilities Profit and Loss responsibilities are within the role and scope of the Portfolio Manager ( but a key shared responsibility with the Head of Sales) . Hence the tie-up with a high variable salary. Travel For maintaining relationships, pursuing key project opportunities and for delivery of projects ( customer success) , this role would require frequent travel to US, Middle East and within India -- the key markets Srijan is focussed on. Travel would be independent or alongwith key members of the team such as Head of Sales, key Team Leads / POs, or the CEO. Reporting The Portfolio Lead would currently report to the CEO. Eventually, this reporting function might be handed over to a ldquoDrupal - Practice Headrdquo OR a ldquoDelivery Headrdquo or perhaps become dual reporting shared by key ldquoAccount Managersrdquo -- depending upon how the structure of Srijan evolves. In Srijanrsquos organization structure, as the company grows, some key accounts may require to be give up to a colleague at the same level -- another Drupal Portfolio Manager for some other key accounts. It is important to maintain agility in roles & responsibilities of the company as well. Remuneration The role will have a high variable salary component, and a low fixed salary. A Salary: Not Disclosed by Recruiter Industry: NGO / Social Services / Regulators / Industry Associations Functional Area: IT Software - Application Programming , Maintenance Role Category:Programming & Design Role:Team Lead/Technical Lead Keyskills development drupal pre sales scrum sms hiring po functions pos product design Desired Candidate Profile Education- UG: B.Tech/B.E. PG:MCA Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required Please refer to the Job description above Company Profile: Srijan Srijan is a 12 year old web services consulting company with expertise in building high-traffic websites and complex web applications in Drupal. Download PPT Photo 1 Â View Contact Details",IT Software - Application Programming,3 - 7 yrs
Verification Technologist - 4167,"Job Description Â Send me Jobs like this Verification Technologist - 4167 Description Company: Mentor Graphics Job Title: Verification Technologist - 4167 Job Location: India - Bangalore Job Category: Customer Support Job Duties: â¢ Job Description: ASIC prototyping product specialists/TMEs are the technical experts for the prototyping solution. As such, they are responsible for: o Signing-off on beta and production releases o Training field and support AEs on the solution o Winning pre-sales engagements in cooperation with the technical sales teams o Ensuring existing customers maximize the value they receive from the solution by developing and enhancing methodology that exploits solution capabilities and ensuring customers are kept up-to-date with the latest enhancements o Assisting product marketing by providing technical contributions to outbound marketing materials o Feeding customer requirements to product marketing â¢ Job requirements: o Competitive personality driven to win, ethically, in competitive business situations o Ability to create outbound marketing material (technical information contributed to product marketing manager for: datasheets, web page content, lunch and learn presentations, etc.) o Support alpha testing of new releases or significant new product enhancements prior to beta release o Ability to create and deliver product demos live, via internet or recorded o Develop and/or refine methodology employed in creating and using prototypes and maximizing the value of our prototyping solution o Inbound marketing uncovering requirements from multiple customers and integrating and prioritizing requirements to help define product evolution o Ability to create and deliver product presentations focused on functionality and value differentiation o Self-motivated, organized around business priorities and able to track time utilization to improve personal & overall team productivity o Extrovert eager to engage with others within the company and with customers o Ability to travel, including some international travel, to visit customers and support pre-sales evaluations and post-sales updates and deployment of new capabilities, and, occasionally to factory in Wilsonville, OR; Fremont, CA; or R&D locations in UK, Paris, Noida and Tunis. o For US-based positions, US citizenship is required. Job Qualifications: Required skills: Technical: SystemVerilog, Verilog and VHDL RTL design experience ASIC and/or FPGA implementation experience (synthesis) Verification experience with SystemVerilog, SystemC and/or C/C++ Debugging RTL designs Proficient in scripting languages used today (e.g., Perl, various shell scripts/Makefiles, XML, etc.) Professional / technical marketing Good to excellent English written and oral communication skills Experience & Education 5 or more years in design, verification and/or prototyping ofelectronics chips and systems BS or MS in EE, CE, CS or related areas Desired skills: Technical: FPGA prototyping of ASIC designs is highly desired Experience with Vivado and/or Quartus for synthesis and P&R Emulation experience Verification methodology & modeling such as UVM, TBX (or equivalent) Verification IP development for use in hardware acceleration and simulation Debugging RTL designs in emulation, prototyping and/or silicon (FPGA or ASIC) Experience with AMBA on-chip protocols, coherency verification, PCIe, USB, ethernet or other external chip/SoC interfaces. Experience debugging embedded software Professional / technical marketing Proficiency in other languages such as Mandarin Chinese, Korean and Japanese Salary: Not Disclosed by Recruiter Industry: IT-Software / Software Services Functional Area: IT Software - Embedded , EDA , VLSI , ASIC , Chip Design Role Category:Programming & Design Role:Software Developer Keyskills xml perl development ip verification pre sales verilog asic ethernet debugging Desired Candidate Profile Education- UG: B.Tech/B.E. PG:Post Graduation Not Required Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required Please refer to the Job description above Company Profile: Mentor Graphics Mentor Graphics Download PPT Photo 1 Â View Contact Details",IT Software - Embedded,3 - 6 yrs
Dot net Software Engineer,"Job Description Â Send me Jobs like this Job Responsibilities: Develop Win forms and WPF based applications using C# Analysis of requirements, design and development. Work closely with other team members in the development of a finished product. On-going maintenance and optimize performance of existing projects. Technically sound with strong Analytical and Logical Skills Excellent Communication skills. Minimum Qualifications: Bachelor's degree in Computer Science (or equivalent experience) 3-5 years of software development experience Strong in Win forms and WPF using C# Strong in OOPS and Databases (Oracle/ MySQL/ SQL Server) Strong in WCF, Web services and Entity framework Experience in Design patterns Strong debugging / troubleshooting skills Requirements analysis & understanding Good communication skills and team player Additional qualifications (nice to have but not necessary) : Experience in Biometric domain Strong in Threading and Remoting Performance optimization techniques and implementation Architectural parameters, principles, guidelines, best practices Good knowledge on SDLC concepts Good knowledge on unit testing tools of Visual Studio Good to have knowledge on TFS Salary: Not Disclosed by Recruiter Industry: IT-Software / Software Services Functional Area: IT Software - Application Programming , Maintenance Role Category:Programming & Design Role:Software Developer Desired Candidate Profile Education- UG: B.Tech/B.E. PG:Post Graduation Not Required Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required Please refer to the Job description above Company Profile: Lone Soft Technologies Pvt Ltd Biomorf is a leading provider of custom identity management solutions based on a modern identity infrastructure with extensive experience in multimodal biometrics and system integration. It enjoys endorsements from some of the world's most credible identity management deployments including the Indonesian National Card Program and other civil identification and law enforcement programs Download PPT Photo 1 Â View Contact Details",IT Software - Application Programming,3 - 5 yrs
CCE Agents / CSA Req. FOR Domestic Inbound BPO CALL Centre,"Job Description Â Send me Jobs like this We are hiring fresher candidates for both Domestic BPO and International BPO Call Centers all over Delhi/NCR regions. Only Fresher Candidate Apply Key Skills:- Calling, customer service, voice, support UNLIMITED INCENTIVES CALL @ SHAHEEN 9560756996 Salary:INR 1,50,000 - 2,50,000 P.A Industry: BPO / Call Centre / ITES Functional Area: ITES , BPO , KPO , LPO , Customer Service , Operations Role Category:Other Role:Fresher Keyskills Call Center Domestic BPO Customer Service International BPO Voice Support CUSTOMER CARE EXECUTIVE HINDI BPO INBOUND PROCESS CCE CSA INBOUND COLLECTION PROCESS HINDI CALL CENTRE hindi voice CSR tsr cso customer care Outbound Calling Desired Candidate Profile Education- UG: Any Graduate - Any Specialization, Graduation Not Required PG:Any Postgraduate - Any Specialization, Post Graduation Not Required Doctorate:Doctorate Not Required Please refer to the Job description above Company Profile: V Connect Solutions V CONNECT SOLUTION ESTABLISHED IN 2012 FOR THE PURPOSE OF SERVING RECRUITMENTS INTO BPO SECTOR AND IT HAS BEEN DOING VERY WELL SINCE THEN. SALARY-8000-13000 IN DOMESTIC,12000-22000 IN INTERNATIONAL(BOTH SIDE CAB AVAILABLE) HUGE INCENTIVES 9891249249 Download PPT Photo 1 Â View Contact Details",ITES,0 - 1 yrs
Manager - Regulatory Affairs,"Job Description Â Send me Jobs like this 1. Response to technical queries of the Notified Bodies, 2. Preparation of registration dossiers for countries suggested by Senior Management. 6.Preparation of documents like Risk Management, Design Dossier, ESR, IFU, Clinical Evaluation, SOPs Salary:INR Best In Industry Industry: Pharma / Biotech / Clinical Research Functional Area: Legal , Regulatory , Intellectual Property Role Category:Drug Regulatory Affairs/Documentation Role:Regulatory Affairs Manager Keyskills Regulatory Affairs ESR IFU Clinical Evaluation Dossier Design USFDS Legal compliance Audit statutory audit internal audit Desired Candidate Profile Education- UG: B.Pharma - Pharmacy, B.Sc - Any Specialization PG:M.Pharma - Pharmacy, M.Sc - Any Specialization Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required Please refer to the Job description above Company Profile: IPMS Placements Private Limited We are one of the leading Placement Consultants working for various National & Multinational Companies across India and Globe. Download PPT Photo 1 Â View Contact Details",Legal,4 - 9 yrs
Office Assistants,"Job Description Â Send me Jobs like this Job Description : Minimum Qualification: Graduate, fluent in English/Hindi speaking. Experienced having good knowledge of Word, Excel, Power Point and English Typing 40 words per minute. Experience of marketing, conferences, events will be preferred. Salary: Not Disclosed by Recruiter Industry: Construction / Engineering / Cement / Metals Functional Area: Executive Assistant , Front Office , Data Entry Role:Secretary/PA Keyskills conferences events fluent in english english typing power point excel office assistants be experienced word Desired Candidate Profile Education- UG: B.Com PG:M.Com Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required Please refer to the Job description above Company Profile: Greentech Foundation Greentech Foundation established in the year 2000 in New Delhi. We organise events on fire, safety, Environment management, CSR & HR. Download PPT Photo 1 Â View Contact Details",Executive Assistant,2 - 7 yrs
JAVA SPECIALIST,"Job Description Â Send me Jobs like this Company Description Â Â Taurus Hard Soft Solutions Pvt Ltd. is a Private Limited Company. ""Technology & Service at your Reach""- That is more than just a slogan at 'Taurus'.It's how we do business day after day. Our company is based on a philosophy that technology and service was invented to make life easier. We are a dedicated Hardware and Software Solutions Provider, providing complete solutions to Research & Development Organizations, Defence, Government, Educational Institutions & Corporate. Taurus can be broadly classified as an Independent Hardware Vendor (I & Independent Software Vendor Job Description 3- 4 years of experience as a java developer. Must have Prior experience with Telecom. Hand on Experience in JDBC, Database / SQL. Good Knowledge on Web Services. Must have Strong analytical, organizational and communication skills Must be flexible in a changing work environment and driven to succeed in a fast paced atmosphere. Qualifications BE / B TECH/ MCA Â With relevant experience Â Additional Information . I'm interested Salary: Not Disclosed by Recruiter Industry: IT-Software / Software Services Functional Area: IT Software - Application Programming , Maintenance Role Category:Programming & Design Role:Software Developer Keyskills java development telecom mca jdbc defence dedicated institutions Desired Candidate Profile Education- UG: B.Tech/B.E. PG:Post Graduation Not Required Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required Please refer to the Job description above Company Profile: Taurus Hard Soft Solutions Pvt. Ltd. Taurus Hard Soft Solutions Pvt. Ltd. Download PPT Photo 1 Â View Contact Details",IT Software - Application Programming,1 - 5 yrs
Urgent Opening for IT Recruiters - Bangalore,"Job Description Â Send me Jobs like this We have an immediate opening for a Recruitment consultant with Adecco India for Bangalore location. Please find the details below. Position: Recruitment Consultant - IT Experience: 0.6 Year to 3 Years Location: Bangalore (Murugeshpalya) Responsibilities: Good experience in IT Recruitment Sourcing and screening the profiles for clients requirements He/She will be responsible for end to end recruitment Should have experience in volume hiring or bulk hiring Should be target oriented Excellent communication skill If you are interested for the opportunity please write into c1.hr.anitha@adecco.co.in Salary: Not Disclosed by Recruiter Industry: Recruitment / Staffing Functional Area: HR , Recruitment , Administration , IR Role Category:HR/ Recruitment / IR Role:Recruitment Executive Keyskills IT Recruitment Recruitment Consulting Bulk Hiring Volume Hiring Screening Sourcing Recruitment Recruiter Technical Recruiter Desired Candidate Profile Please refer to the Job description above Education- UG: Any Graduate - Any Specialization Doctorate:Doctorate Not Required Company Profile: Adecco India Private Limited The Adecco Group, based in Zurich, Switzerland, is the world's leading provider of HR solutions. With approximately 32,000 FTE employees and around 5,100 branches in over 60 countries and territories around the world, Adecco Group offers a wide variety of services, connecting more than 650,000 associates with our clients every day. The services offered fall into the broad categories of temporary staffing, permanent placement, career transition and talent development, as well as outsourcing and consulting. The Adecco Group is a Fortune Global 500 company. Download PPT Photo 1 Â View Contact Details",HR,1 - 3 yrs
Training Executive (F&B Background Only),"Job Description Â Send me Jobs like this 1.Will be responsible for training and development of select retail outlets 2.Identify training needs by evaluating strengths and weaknesses 3.Should be able to conduct timely audits: Food Safety, Hygiene, knowledge, gauge results and come up with interventions on how to improve. 4.Should be able to generate reports based on training and be able to showcase training activities conducted and their influence on store operations. 5.Translate requirements into trainings that will groom employees for the next step of their career path. 6.Direct structured learning experiences and monitor their quality results 7.Must sync training interventions with operational KRAs of the outlet and deliver results Salary:INR 2,00,000 - 2,50,000 P.A Industry: FMCG / Foods / Beverage Functional Area: Hotels , Restaurants Role Category:Front Office/Customer Care Role:Staff Function Keyskills Training Needs Food Safety Retail Outlets Store Operations Report Generation learning & development training & development F&B food&beverage Desired Candidate Profile Please refer to the Job description above Company Profile: Mountain Trail Foods Pvt. Ltd. Chai Point is India's biggest tea brand which aims to own and honor the ritual of Chai, ensuring last mile access to tea through retail stores and online delivery using electric bikes as we expand operations. We are now at 90 fast and casual stores, with over 600 employees across 6 cities serving 1.5 lakh cups per day. All our stores are company owned and company operated. We use only high quality loose tea leaves from India's best tea gardens, giving our tea a unique and authentic flavor. We are a cool, contemporary and technology focused brand, and use a cloud based platform called SHARK that allow for seamless and fast integration of billing and tracking across all our stores, through mobile payment and Wi-Fi based setups. Download PPT Photo 1 Â View Contact Details",Hotels,2 - 4 yrs
Executive - Inbound & Outbound Tours,"Job Description Â Send me Jobs like this Job Description: Handling of Inbound tour packages, making itineraries and costing for Inbound Tours. Desired Profile Should have good and sound knowledge of costing and itinerary preparation. Also computer literacy and fluency in English essential. Should have minimum 01 year experience in the same field. Salary: Not Disclosed by Recruiter Industry: Travel / Hotels / Restaurants / Airlines / Railways Functional Area: Travel , Tours , Ticketing , Airlines Role Category:Ticketing/Travel/Documentation Role:Tour Mngmt Executive Keyskills inbound costing handling fluency in english computer literacy itinerary good communication skills sound outbound tours knowledge Desired Candidate Profile Education- UG: Any Graduate PG:Post Graduation Not Required Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required Please refer to the Job description above Company Profile: Vardhman Vacations Vardhman Vacations Download PPT Photo 1 Â View Contact Details",Travel,1 - 2 yrs
Senior Associate/associate - M&A Advisory - CA Firm,"Job Description Â Send me Jobs like this Employer: Leading CA Firm Position: Senior Associate/ Associate Profile: - M&A Advisory Location: Delhi Experience: 1-5 yrs Qualification: - CA, MBA Required Skills: - Business & Industry Analysis, financial statements analysis etc. - Research and analysis of specific industry segment and potential target and/or investors profiling. - High quality presentations, information memorandums, reports, emails (internal and external). - Transaction Execution & Due Diligence support - Business modeling and undertaking valuation based on various approaches Please share your CV with below details: 1. Current CTC 2. Expected CTC 3. Current Employer 4. Current Location 5. Ok for Delhi Location Salary: Not Disclosed by Recruiter Industry: Accounting / Finance Functional Area: Accounts , Finance , Tax , Company Secretary , Audit Role Category:Accounts Role:Chartered Accountant Keyskills Finance Research Analysis Mba Valuation Ca Financial Statements Business Modeling Due Diligence Industry Analysis Desired Candidate Profile Education- UG: Any Graduate - Any Specialization PG:CA, MBA/PGDM - Any Specialization Doctorate:Doctorate Not Required Please refer to the Job description above Company Profile: Phenom placement Leading client of Phenom placement Download PPT Photo 1 Â View Contact Details",Accounts,1 - 5 yrs
Excellent Job Opening for Business Development Manager role,"Job Description Â Send me Jobs like this HI, I Have an Excellent Job Opening for Business Development Manager Role Company Name : Nannak Technologies Pvt Ltd Website : http://www.nannak.tech/ Location: Chennai-41 Designation : Business Development Manager Experience: 6 Months to 2 Years Job Role :Â Acquisition of new Merchants; Selling advertising campaigns to merchants by implementing national sales plans; Supervising regional account managers. Responsibilities: Determines annual gross-profit plans by implementing sales strategies; analyzing trends and results. Establishes sales objectives by forecasting and developing annual sales quotas for regions and territories; projecting expected sales volume and profit for existing and new campaigns. Maintains sales volume, campaign mix, and selling price by keeping current with supply and demand, changing trends, economic indicators, and competitors. Establishes and adjusts selling prices by monitoring costs, competition, and supply and demand. Maintains national sales staff by recruiting, selecting, orienting, and training employees. Maintains professional and technical knowledge by attending educational workshops; reviewing professional publications; establishing personal networks; participating in professional societies. Contributes to team effort by accomplishing related results as needed. Salary:INR 2,50,000 - 3,00,000 P.A Industry: IT-Software / Software Services Functional Area: Sales , Retail , Business Development Role Category:Retail Sales Role:Sales/Business Development Manager Keyskills National Sales Business Development Management Selection Selling Sales Strategy Attendance Advertising Campaigns Employee Training BDM BDE BD Corporate Sales Institutional Sales Sales Marketing Desired Candidate Profile Education- UG: Any Graduate - Any Specialization PG:Any Postgraduate - Any Specialization, Post Graduation Not Required Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required Please refer to the Job description above Company Profile: Joule Consulting Pvt. Ltd. Nannak Technologies Pvt Ltd NANNAK Technologies is a tech start up, based in Chennai, India; and is focused on transforming the global travel industry, through the integration of technology and smartphone applications to daily travel needs. This unique independent global forum for travel industry stakeholders focuses on the end-to-end travel process from the passenger point of view and will assess how every aspect of the passenger experience can be improved. inTRANSIT, a NANNAK Technologies solution, is a social networking platform aimed at the air travel industry. It enhances one's travel experiece by improving both the means of communication with other travelers and the quality of time spent at airports. Launching towards the end of 2015, inTRANSIT will be available for both Android and iOS users. Download PPT Photo 1 Â View Contact Details",Sales,0 - 2 yrs
Fireman,"Job Description Â Send me Jobs like this Physical standard: Height- Not less than 5 feet 6 inches. Chest; Normal 80Cms, Expanded: 85 Cms. & Other Medical Standards applicable for fire service personnel Valid HTV license Desirable - ITI/ experience in any fire service 2- 3 Years 10 2 preferably from science stream Salary: Not Disclosed by Recruiter Industry: IT-Software / Software Services Functional Area: Defence Forces , Security Services Role Category:Other Role:Security Supervisor Desired Candidate Profile Any Post Graduate Any Graduate Education- UG: Any Graduate PG:Post Graduation Not Required Company Profile: irb infrastructure developers ltd irb infrastructure developers ltd Download PPT Photo 1 Â View Contact Details",Defence Forces,2 - 3 yrs
Web Designer and Developer,"Job Description Â Send me Jobs like this Job Description Developing web based applications in Astrology, Vastu, Numerology and related areas. Candidate Profile Candidate must be in Web Design/Development, adobe Creative Suite (Dreamweaver, Flash & Photoshop) , ASP, PHP, HTML, JavaScript, DHTML, ASP.NET, VB.NET, SQL, Oracle, VB 6.0, Basic SEO knowledge is Must. Salary: Not Disclosed by Recruiter Industry: Internet / Ecommerce Functional Area: IT Software - Application Programming , Maintenance Role Category:Programming & Design Role:Software Developer Keyskills php javascript html seo asp web design photoshop dreamweaver dhtml adobe Desired Candidate Profile Education- UG: B.Tech/B.E. PG:Post Graduation Not Required Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required Please refer to the Job description above Company Profile: PREMASTROLOGER ""The events which led to my exploring the varied dimensions of astrology make up a long journey. As a child I would often watch my father and elder paternal uncle offer advice to clients. They were both renowned for their prophecies, not only in Rampura Phul (Bhatinda), our ancestral home but also gave predictions regarding the entire state and its erstwhile rulers. Download PPT Photo 1 Â View Contact Details",IT Software - Application Programming,2 - 7 yrs
Associate -quality Control & Oversight,"Job Description Â Send me Jobs like this About Chase Business Banking: Chase Business Banking (BB), a business unit of JPMorgan Chase is a leading national Small Business Administration lender in the United States. Delivering a broad array of financial solutions with local expertise and dedicated service, BB partners with the firm's other businesses to provide comprehensive solutions, including lending, deposit products and treasury services to meet its clients financial needs. Business Banking serves 2.4 million customers through 2,000 Relationship Managers and more than 10,000 branch-based Small Business Specialists in 23 states in the US. The BB Risk team is focused on a range of risk types generated through the partnership with BB functional groups. One area of focus is Credit Risk, where decisions are rendered on incoming credit requests from small business customers. Essential Job Duties and Responsibilities: Credit Officer - The purpose of this position is to facilitate business loan portfolio growth and protect the bank from loss while maintaining acceptable asset quality. The officer Evaluates credit applications for recommendation. Responsibilities: Independently analyzes, or at times may work with more senior Credit Officer, to evaluate the risk of adding a particular transaction to the bank's loan portfolio. Identify additional information requirements needed to properly assess risks of the transaction Understand and assess the customers business model and its viability in the long run Review and analyze the financial strength and soundness of the customer to identify key risks to the continued credit worthiness of the business Considers alternative credit structures to mitigate risk where appropriate Recommend action to be taken on credit, identifies key risks and information requirements Ensure that credit facilities presented are properly graded. Meet assigned timelines and ensure documentation requirements are met per the business and audit requirements Usually works independently with limited direct supervision. Serves as a resource for less experienced Credit Officers. Salary: Not Disclosed by Recruiter Industry: Banking / Financial Services / Broking Functional Area: Financial Services , Banking , Investments , Insurance Role Category:Retail/Personal Banking Role:Credit Officer Keyskills service documentation facilities audit quality control treasury lending policies dedicated maintaining Desired Candidate Profile 7-10 plus years experience as a credit underwriter or similar position requiring business knowledge and credit judgment Preferably a post graduate or an advanced degree in business management, finance or accounting; Ability to formulate and articulate objective views based on professional analysis. Thorough knowledge of credit philosophy, Risk Guidelines and policies, loan documentation, bankruptcy and related legal issues. Strong verbal, written, and interpersonal skills, as well as analytic and problem solving skills. Good organization skills and ability to work within time constraints in a highly regulated industry Works effectively in a team environment, while assuming individual responsibility and helping develop the junior level analysts. Education- UG: B.Com - Commerce PG:MBA/PGDM - Finance Company Profile: JPMorgan Chase J.P. Morgan is a leader in financial services, offering solutions to clients in more than 100 countries with one of the most comprehensive global product platforms available. We have been helping our clients to do business and manage their wealth for more than 200 years. Our business has been built upon our core principle of putting our clients' interests first. Download PPT Photo 1 Â View Contact Details",Financial Services,7 - 10 yrs
Marketing Executive,"Job Description Â Send me Jobs like this Listening to customer requirements and presenting appropriately to make a sale. Maintaining and developing relationships with existing customers in person and via telephone calls and emails. Assisting the Tele Caller on Cold callings to arrange meetings with potential customers to prospect for new business, responding to incoming email and phone enquiries. Acting as a contact between a company and its existing and potential Customers, negotiating the terms of an agreement and closing sales; gathering market and customer information. Should be able to guide the Sales and Designing team about the clientrsquos need, so that the requirement gathered is best understood and delivered. Building Relationship with the Clients for Regular business. Setting up Sales Funnel for Sales Team and working on the Funnel for Generating Business. Marketing: (Apart from the above responsibilities, below is the added responsibilities). Reviewing your own sales performance, aiming to meet or exceed targets. Gaining a clear understanding of customersrsquo businesses and requirements. Making accurate, rapid cost calculations and providing customers with quotations. Feeding future buying trends back to employers. Attending team meeting and sharing best practice with colleagues. Writing minutes of all the meetings, Sessions and business calls. Informing executives about date, time and venue of any meetings conducted or training programs. Checking and replying to E-mails on day to day basis. Strong MIS skills. Desired Profile: Energetic, willingness to learn. Excellent communication skills (written, spoken English). Well versed with Ms. Word, Power point, Ms. Office. Salary: Not Disclosed by Recruiter Industry: Banking / Financial Services / Broking Functional Area: Sales , Retail , Business Development Role Category:Retail Sales Role:Sales Executive/Officer Keyskills mis ms office email closing maintaining checking telephone calls excellent communication skills willingness to learn cold callings Desired Candidate Profile Education- UG: Any Graduate PG:MBA/PGDM Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required Please refer to the Job description above Company Profile: Aarav Infotech Aarav Infotech Download PPT Photo 1 Â View Contact Details",Sales,2 - 6 yrs
iOS Architect - Objective C / Cocoa / Xcode,"Job Description Â Send me Jobs like this Responsibilities: - Working within the Engineering team, specifically on the software design and development of iOS based mobile/tablet applications - Design, estimate and participate in development of the required code that fulfills the required product functionality - Adhere to the best engineering practices and tools - Work within Replicon's software development expectations, processes, and quality initiatives - Work to accurately evaluate risk and estimate software development tasks - Architecting and developing the iOS application that interacts with Replicon Cloud based platform - Conduct research to assess new technological developments in the industry and suggest adaptions of such developments - Responsible for helping out with technical direction and leadership, performance optimization - Accountable for estimations & implementation of features in a timely, deadline driven manner while ensuring quality of the deliverables - Help in creation & implementation of best practices and optimal design patterns, and solutions for critical problems for the product. - Train, mentor, and guide junior developers - Collaborate with product management, design and QA teams to ensure technical success of the product. - Understand, be aware and stick to the requisite timelines, In case the timelines can- t be met, escalate in a timely manner - Strive to continually improve technical and developmental skills q Salary: Not Disclosed by Recruiter Industry: IT-Software / Software Services Functional Area: IT Software - Application Programming , Maintenance Role Category:Programming & Design Role:Software Developer Keyskills Objective C XCode Cocoa IOS Architecting Design Development Design Patterns Performance Optimization Quality Initiatives Software Design Desired Candidate Profile Education- UG: B.Tech/B.E. - Any Specialization, Computers, B.Sc - Any Specialization, Computers PG:Any Postgraduate - Any Specialization, Post Graduation Not Required Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required Qualifications:- Bachelor of Computer Science, Computer Engineering, or related field- Must have hands on experience on iOS app development for phone and tablet devices (iPhone & iPad)- 8+ years of software development experience- 4+ years of experience with mobile app development on iOS (most of it must be native iOS programming)- Must have contributed significantly for applications currently active in Appstore- Having a hands on experience in Test Driven Development is desired- Having experience of leading a team of professional iOS developers is a plus- Good exposure and understanding of fundamentals of Object Oriented Design and Development- Experience in Agile Development practices- Following technology competencies are required- C & Objective C, iPhone SDK, Jason- Apple provided SQLite- Tools - Xcode (Simulator, Interface builder, Instruments)- Exposure to MVC & Client/Server architecture- Core Location- Camera & Keychain API- CoreData- Designing For Multiple Form Factors Company Profile: Black & White Business Solution Leading Client Download PPT Photo 1 Â View Contact Details",IT Software - Application Programming,8 - 12 yrs
Microstrategy Developers,"Job Description Â Send me Jobs like this Job Description Minimum 2 years of experience developing in MicroStrategy on version 8.0 and above Ability to build basic MicroStrategy Reports, Report Service documents & Dashboards Previous experience in the creation of report objects including prompts, filters, templates, metrics, custom groups, and consolidations. Salary: Not Disclosed by Recruiter Industry: IT-Software / Software Services Functional Area: IT Software - Application Programming , Maintenance Role Category:Programming & Design Role:Software Developer Keyskills microstrategy metrics filters documents portfolio analysis report service creation report statistical modelling developing Desired Candidate Profile Education- UG: B.Tech/B.E. PG:M.Tech Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required Please refer to the Job description above Company Profile: TaurusHR Pvt. Ltd TaurusHR Pvt. Ltd. is a leading recruitment solutions provider. It is a Strategic Business Unit (SBU) of Taurus Group which has more than two decades of rich IT experience Download PPT Photo 1 Â View Contact Details",IT Software - Application Programming,4 - 9 yrs
